18,Transformers: Dark of the Moon,Sci-Fi,http://wpc.556e.edgecastcdn.net/80556E/img.teasers.posters/FIoUZttvlj5vrx_4_d.jpg,The Autobots Bumblebee Ratchet Ironhide and Sideswipe led by Optimus Prime are back in action taking on the evil Decepticons who are determined to avenge their defeat in 2009s Transformers: Revenge of the Fallen. In this new movie the Autobots ...
19,The Lord of The Rings: The Two Towers,Fantasy,http://wpc.556e.edgecastcdn.net/80556E/img.teasers.posters/FI9KvidcaDyxcc_1_d.jpg,At the end of part one the Fellowship was forced to divide. The Lord of the Rings: The Two Towers traces the journey of Frodo (Wood) and Sam (Astin) as they venture deeper into the land of the enemy - with the mysterious Gollum (Serkis) serving ...
20,Finding Nemo,Family,http://wpc.556e.edgecastcdn.net/80556E/img.teasers.posters/FIAjYIABJD9uEE_1_d.jpg,Finding Nemo  follows the comedic and momentous journey of an overly protective clownfish named Marlin and his son Nemo -- who become separated in the Great Barrier Reef when Nemo is unexpectedly taken far from his ocean home and dumped into a f...
21,Spider-Man 3,Superhero,http://wpc.556e.edgecastcdn.net/80556E/img.teasers.posters/FIxk3GyAsYqWBz_1_d.jpg,In Spider-Man 3 based on the legendary Marvel Comics series Peter Parker has finally managed to strike a balance between his devotion to M.J. and his duties as a superhero. But there is a storm brewing on the horizon. As Spider-Man basks in the ...
22,Alice in Wonderland,Fantasy,http://wpc.556e.edgecastcdn.net/80556E/img.teasers.posters/FIhmojhjgzibjp_4_d.jpg,From Walt Disney Pictures and visionary director Tim Burton comes an epic 3D fantasy adventure  Alice in Wonderland  a magical and imaginative twist on some of the most beloved stories of all time. Johnny Depp stars as the Mad Hatter and Mia Wa...
23,Forrest Gump,Drama,http://wpc.556e.edgecastcdn.net/80556E/img.teasers.posters/FIInRILRsBuFMQ_1_d.jpg,The story follows the life of low I.Q. Forrest Gump  (Tom Hanks) and his meeting with the love of his life Jenny. The film chronicles his accidental experiences with some of the most important people and events in America from the late 1950s th...
24,The Lion King,Animation,http://wpc.556e.edgecastcdn.net/80556E/img.teasers.posters/FIIBFKJMnuWWNJ_1_d.jpg,Wild Africa is the setting for this animated tale of a young lion cub whose evil uncle usurps his fathers crown and lets hyenas overrun the kingdom. Dodging danger and befriending some oddball characters the cub wanders until the day hes ready...
25,Shrek the Third,Animation,http://wpc.556e.edgecastcdn.net/80556E/img.teasers.posters/FIx2yCCBXsn6AF_1_d.jpg,Shrek the Third  finds Shrek and Fiona reluctantly reigning over Far Far Away. But if they can find the heir to the throne and bring him back they can return to their swamp. While Shrek Donkey and Puss in Boots are in search of the heir Fiona ho...
26,Transformers,Sci-Fi,http://wpc.556e.edgecastcdn.net/80556E/img.teasers.posters/FIBxiGCBqtmLFC_1_d.jpg,Introduced in 1984 the  Transformers u brand took the world by storm with its compelling saga of the Autobots versus the Decepticons. The innovative Robots in Disguise resulted in a tremendously successful toy line from Hasbro and Takara comic...
27,Iron Man,Superhero,http://wpc.556e.edgecastcdn.net/80556E/img.teasers.posters/FIfg6gfin2MBhn_1_d.jpg,Based on the long-running Marvel comic book series  Iron Man u tells the story of Tony Stark the enigmatic heir to the Stark Enterprises fortune. A driven inventor and executive who seems to have it all Tony is haunted by his dark side. Though...
